main_brand,color,sold_price,category,score,size,genda,condition_encoded
Nike,Green,122.0,Top,5.0,m,Men,2
Calvin Klein,Black,235.0,Outerwear,5.0,m,Men,1
Palace,White,125.0,Top,5.0,l,Men,0
Ralph Lauren,White,45.0,Top,5.0,m,Men,2
Saint Laurent Paris,Grey,109.0,Bottom,5.0,s,Men,1
Kapital,Brown,85.0,Acceorie,5.0,ONE SIZE,Men,1
Disney,Grey,78.0,Top,5.0,l,Men,1
Distressed Denim,Blue,55.0,Bottom,5.0,l,Men,2
Kappa,Black,50.0,Bottom,5.0,m,Men,1
Lacoste,White,43.0,Top,5.0,l,Men,2
Avant Garde,Black,196.0,Outerwear,5.0,s,Men,1
Virgil Abloh,White,35.0,Top,5.0,l,Men,2
Russell Athletic,Black,68.0,Top,5.0,m,Men,1
Mickey Mouse,Red,102.0,Top,5.0,l,Men,1
Burberry,multi_color,93.0,Acceorie,5.0,ONE SIZE,Men,2
Acne Studios,Black,357.0,Footwear,5.0,l,Women,0
Balenciaga,multi_color,475.0,Footwear,5.0,m,Men,3
Band Tees,White,50.0,Top,5.0,xl,Men,2
Harley Davidson,Denim,34.0,Bottom,5.0,s,Men,2
Polo Ralph Lauren,Maroon,33.0,Top,5.0,l,Men,1
The North Face,Brown,350.0,Outerwear,5.0,m,Women,2
Hype,Black,72.0,Top,5.0,m,Men,1
Puma,Blue,90.0,Bottom,5.0,s,Men,0
Gucci,White,193.0,Top,5.0,s,Men,1
Dior,Beige,1300.0,Bottom,5.0,m,Women,1
Hysteric Glamour,Brown,139.0,Bottom,5.0,s,Men,1
Prada,Black,185.0,Acceorie,5.0,ONE SIZE,Men,2
Patagonia,Pink,86.0,Top,5.0,m,Women,1
Dolce & Gabbana,Brown,972.0,Acceorie,5.0,ONE SIZE,Men,0
Levi's Vintage Clothing,Blue,150.0,Bottom,5.0,s,Men,2
Dickies,Grey,50.0,Outerwear,5.0,l,Men,3
Bape,Black,80.0,Top,5.0,l,Men,1
MLB,Black,39.0,Top,5.0,xxl,Men,2
Uniqlo,Grey,115.0,Outerwear,5.0,l,Men,2
Vans,White,229.0,Footwear,5.0,s,Men,0
Rick Owens Drkshdw,Black,92.0,Footwear,5.0,m,Men,1
Adidas,Grey,148.0,Outerwear,5.0,m,Men,1
Gildan,Black,45.0,Top,5.0,l,Men,1
Kapital Kountry,Blue,60.0,Top,5.0,l,Men,0
Luxury,Blue,135.0,Bottom,5.0,s,Men,1
Lee,Grey,50.0,Top,5.0,xl,Men,2
NFL,Blue,90.0,Outerwear,5.0,l,Men,1
Tour Tee,Black,60.0,Top,5.0,xl,Men,2
Guess,Blue,41.0,Bottom,5.0,xs,Men,2
Gap,Blue,45.0,Bottom,5.0,m,Men,2
Converse,White,52.0,Footwear,5.0,m,Men,0
Versace,Grey,80.0,Top,5.0,xl,Men,1
Yves Saint Laurent,Black,1200.0,Outerwear,5.0,s,Men,1
Maison Margiela,White,409.0,Footwear,5.0,m,Men,1
Issey Miyake,multi_color,220.0,Bottom,5.0,s,Women,2
Fruit Of The Loom,Grey,38.0,Top,5.0,l,Men,2
Louis Vuitton,Blue,725.0,Bottom,5.0,xs,Men,2
Rick Owens,Black,130.0,Footwear,5.0,s,Men,1
Number (N)ine,White,122.0,Top,5.0,xl,Men,1
NBA,Blue,85.0,Outerwear,5.0,xl,Men,1
Fila,Blue,50.0,Outerwear,5.0,l,Men,1
